S,slope,intercept,r,p,stderr
10x+gA11dC-,0.2940218387220901,2.416593069248189,0.9437247188650095,1.0423415909962786e-24,0.014872701288160236
10xdC+,0.09308177726840279,2.814858914136144,0.7916268730100947,7.685019481559253e-12,0.010369746940893605
12x+gA11dC-,0.25149225369585076,2.5756634798723628,0.8741087125779691,1.1529738495716229e-16,0.020171294600614443
12xdC+,0.11118559570190305,2.8446386370907457,0.6891298517254763,3.143574283762917e-08,0.01687515902846362
14x+gA11dC-,0.062010454973124386,2.662781625693254,0.32761999375891065,0.020204203329931045,0.025811793911762897
14xdC+,0.015966407984203568,2.8322011268647165,0.08238603330453748,0.5694979497282281,0.02787751820516336
22x+gA11dC-,-0.07366594706550883,3.104350715321741,-0.4093379330297074,0.0031595509363952926,0.02369961422542602
22xdC+,0.005367112137403065,2.7459653980143957,0.028003147528210065,0.8469263574385866,0.02765303820729185
5x+gA11dC-,0.1822343424497583,2.7337851708615624,0.8765440610060625,7.423344859939492e-17,0.014443459579355286
5xdC+,0.18336040486733932,2.3077068182139784,0.4883395185683698,0.0003208852149802966,0.04729388751160911
a4+10x,0.14275553589376064,3.009276800286934,0.7012319175841945,1.415692567542262e-08,0.02094881808555389
a4+12x,0.21245364154885876,2.584088573967273,0.6600541839946696,1.8433973262957127e-07,0.03490036382993665
a4+14x,0.09483480797416999,2.6397046724062263,0.6249449261621233,1.2273246995457647e-06,0.017099060527748115
a4+22x,0.044536920990570536,2.8318934280789296,0.16676558062581584,0.24706299979223967,0.03800743452308193
a4+5x,0.13067620469946387,2.792653922885588,0.6041550594892268,3.3915923254103234e-06,0.02487787027654091
a4+gA11dC-,0.2746099200067167,2.454026156907025,0.8896006503919622,5.911233953137938e-18,0.020350204765795653
a4+gC3FL-,0.34784452553446127,1.941181006516753,0.9167629065530999,9.213268008492016e-21,0.021875106327353823
a4-gC3rdsFL,0.6091785896876835,1.939812583003425,0.9762018262720702,1.607269237321498e-33,0.019533130882614123
a4-gC3rdsdC,0.16283590590788022,2.917356801505121,0.8922084479761351,3.4330586473610387e-18,0.011897071617722039
a4dCdEC6,0.2951487724369119,2.9794884585659887,0.9485909798627097,1.2567737723808774e-25,0.014214165867416697
a4dCmCh+,0.1077569193318393,2.734384381837553,0.7383149840207945,9.410490394318736e-10,0.014208117185402895
aC2FL+,0.12306121114411561,3.0055155461643044,0.5906870997342337,6.311025932475004e-06,0.024264043497289153
aC2dC+,0.08381083698156712,3.28803134847867,0.584196603077353,8.429253245792866e-06,0.016806182957223168
aC2dsdC,0.3401594916338502,2.25509827983254,0.9328557334492705,6.382015731643696e-23,0.01896058256982647
b17FL+,0.7659424681469469,2.227959410790659,0.9949264562092415,1.5377905292797052e-49,0.011179019233833225
b17dsdC,0.28334122064035555,2.6311687068520495,0.8653421938468837,5.23314303308273e-16,0.023686248749854342
b17ec56,0.21507242898589685,2.35246743266529,0.8881802558159533,7.902190494000225e-18,0.01605994227226845
gA11dC+,0.6354961556747746,1.5137286548009228,0.980124026813272,2.228027544188121e-35,0.01856614214888127
gA11dC-,-0.0368788072706014,2.979330623707108,-0.8172366214598094,4.5050992668278897e-13,0.0037536930592424233
gA11dsdC,0.3288441153630906,2.3380448028940544,0.9193114636047095,4.497716762166404e-21,0.020318209209263177
gA11ec56,0.2565071099171151,2.2256407177541044,0.8263391614202796,1.4748590891951118e-13,0.02523260658404068
gA1dsdC,0.2803276763124978,2.759294555499949,0.9257462278551849,6.587940161042936e-22,0.01652769141878624
gA3dC+,0.5505321585634839,2.060314169508674,0.9742742119190397,1.019860385270086e-32,0.018380992040200085
gA3dsdC,0.34412720198056995,2.3840947191773094,0.944790737553029,6.6668228831794435e-25,0.017226822111717926
gB2dC+,0.6970005273536989,1.7135660533594965,0.9834292515514325,2.939219054872425e-37,0.01854593721715758
gB2dsdC,0.24528661534180235,3.011956746201955,0.9188821631429968,5.083495428049014e-21,0.015201125479368294
gB6FL+,0.5238455760789452,2.045386371710729,0.9750237380202224,5.0580968830685347e-33,0.017223339137957715
gB6dC+,0.5698048540555436,1.767285904034536,0.975398962623935,3.532080448351745e-33,0.018587772894278234
gB6dsdC,0.25545044941348555,2.599784008577598,0.907272018129027,1.1026441145896914e-19,0.017090716031647465
gB6ec56,0.32619796727529937,2.434400919192865,0.7507685261455155,3.412075772726041e-10,0.041425750208436606
gC3FL+,0.7586203752326484,1.5553034478051964,0.9930362315052701,3.0102242110794643e-46,0.012990281110224003
gC3FL+unstained,0.025991713512219728,2.930537619032687,0.38846398373326124,0.005306951455645825,0.00889901343577922
gC3FL-,-0.004731638411156041,3.004170500908461,-0.0839714978365064,0.5620659722279568,0.008104429617272377
gC3FL-unstained,-0.08884819413212461,3.1094813381141058,-0.5560822739043235,2.7560933937253648e-05,0.019167102101587494
gC3dC+,0.6998030743468945,1.7509407681888849,0.9908691583037151,1.9595910149191964e-43,0.01374408026095799
gC3dsFL,0.2418961495230095,2.995296338917411,0.9276821496410588,3.57276605312562e-22,0.01405237088731303
gC3dsdC,0.3992939994252584,2.325415234532387,0.9267311006944572,4.8357719566840475e-22,0.023366238998247295
gC3ec56,0.359161691853605,1.8027346179281458,0.9098804991553449,5.729073556922895e-20,0.023637281034776896
gC3ec56*,0.3752890061352534,1.8139237891846949,0.8477960729957843,8.04167263225846e-15,0.033883929676791595
