E,S,FITC
230916,10xdC+,0.008903278025091057
230916,12xdC+,0.006381620931716656
230916,5xdC+,0.0028239723878255413
230916,a4+gC3FL-,0.19545903257650543
230916,a4dCmCh+,0.006350267379679145
230916,aC2FL+,0.0045088566827697265
230916,aC2dsdC,0.20874065554916618
230916,b17FL+,0.7800108636610538
230916,b17dsdC,0.07715891670924885
230916,gA11dsdC,0.18636995827538247
230916,gA3dsdC,0.22671840354767184
230916,gB6dC+,0.3261630815407704
230916,gB6dsdC,0.0571319018404908
230916,gC3FL+,0.6612170753860127
230916,gC3FL-,0.000982640026203734
230920,10xdC+,0.003586065573770492
230920,12xdC+,0.009341825902335456
230920,5xdC+,0.0028222013170272815
230920,a4dCmCh+,0.014575411913814956
230920,aC2FL+,0.03234381922906513
230920,aC2dsdC,0.2138899150350942
230920,b17FL+,0.8067185978578384
230920,b17dsdC,0.12534974818130945
230920,gA11dsdC,0.16720569210866754
230920,gA3dsdC,0.21271186440677967
230920,gB6dC+,0.46301277740416946
230920,gB6dsdC,0.11963434022257552
230920,gC3FL+,0.6829166666666666
230920,gC3FL-,0.0047522063815342835
230920,gC3dsFL,0.24427480916030533
230927,10xdC+,0.05452366686638706
230927,12xdC+,0.03833718244803695
230927,5xdC+,0.013023255813953489
230927,a4dCmCh+,0.02880481513327601
230927,aC2FL+,0.05972045743329098
230927,aC2dsdC,0.3993265993265993
230927,b17FL+,0.8007246376811594
230927,b17dsdC,0.28484848484848485
230927,gA11dsdC,0.29627309740056373
230927,gA3dsdC,0.38395660862118186
230927,gB6dC+,0.535899333826795
230927,gB6dsdC,0.3095703125
230927,gC3FL+,0.6835212804656239
230927,gC3FL-,0.04854854854854855
230927,gC3dsFL,0.29990418396678376
230929,a4+gA11dC-,0.06279809220985691
230929,a4+gC3FL-,0.10593900481540931
230929,a4dCmCh+,0.0035514967021816335
230929,gA11dC+,0.5777975925100312
230929,gA11dC-,0.0015915119363395225
230929,gA11dsdC,0.28412537917087965
230929,gA1dsdC,0.0435
230929,gA3dC+,0.4859215017064846
230929,gA3dsdC,0.3798758865248227
230929,gB2dC+,0.4680451127819549
230929,gB2dsdC,0.28204129333852745
230929,gB6FL+,0.2803149606299213
230929,gC3FL+,0.7257048092868988
230929,gC3FL-,0.000942507068803016
230929,gC3dsFL,0.2432562620423892
231011,a4-gC3rdsFL,0.49685838569357177
231011,a4-gC3rdsdC,0.02526906878802059
231011,a4dCdEC6,0.2473378509196515
231011,a4dCmCh+,0.010822510822510822
231011,aC2dC+,0.02942907592701589
231011,gA11dC+,0.4820261437908497
231011,gA1dsdC,0.32432432432432434
231011,gA3dC+,0.48511576626240355
231011,gB2dC+,0.483554933519944
231011,gB2dsdC,0.25597269624573377
231011,gB6FL+,0.4659977703455964
231011,gC3FL+,0.5553306342780027
231011,gC3FL-,0.004335260115606936
231011,gC3dC+,0.5116279069767442
231011,gC3dsdC,0.36324786324786323
231013,a4-gC3rdsFL,0.6588124410933082
231013,a4-gC3rdsdC,0.15226469643430773
231013,a4dCdEC6,0.4515863205603626
231013,a4dCmCh+,0.055656108597285064
231013,aC2dC+,0.08557457212713937
231013,gA11dC+,0.5997031172686789
231013,gA1dsdC,0.4174792343806428
231013,gA3dC+,0.5789473684210527
231013,gB2dC+,0.5643248175182481
231013,gB2dsdC,0.42245140817136057
231013,gB6FL+,0.5287994448299792
231013,gC3FL+,0.7075098814229249
231013,gC3FL-,0.010921799912625601
231013,gC3dC+,0.6635802469135802
231013,gC3dsdC,0.4506082725060827
231014,a4-gC3rdsFL,0.5182389937106918
231014,a4-gC3rdsdC,0.07312614259597806
231014,a4dCdEC6,0.29995208433157644
231014,a4dCmCh+,0.022700119474313024
231014,aC2FL+,0.03581081081081081
231014,aC2dC+,0.0453125
231014,gA1dsdC,0.2995169082125604
231014,gA3dC+,0.4475104979004199
231014,gB2dC+,0.4245810055865922
231014,gB2dsdC,0.2819548872180451
231014,gC3FL+,0.6034612490594432
231014,gC3FL-,0.012259194395796848
231014,gC3dC+,0.5908129344212754
231014,gC3dsFL,0.18085106382978725
231014,gC3dsdC,0.38609022556390976
231117,10x+gA11dC-,0.1891025641025641
231117,10xdC+,0.05651595744680851
231117,12x+gA11dC-,0.18268268268268267
231117,12xdC+,0.03180760279286268
231117,5x+gA11dC-,0.06854009595613433
231117,5xdC+,0.0222104706504495
231117,a4+10x,0.08796520057999033
231117,a4+12x,0.04965034965034965
231117,a4+5x,0.017328519855595668
231117,a4+gA11dC-,0.2595641646489104
231117,a4+gC3FL-,0.18567807351077312
231117,a4dCmCh+,0.009021512838306732
231117,gA11dC+,0.4398148148148148
231117,gA11dC-,0.012002526847757423
231117,gC3FL+,0.6155694377703027
231215,10x+gA11dC-,0.15770042194092826
231215,10xdC+,0.019201228878648235
231215,12x+gA11dC-,0.12198391420911528
231215,12xdC+,0.07756068679692125
231215,5x+gA11dC-,0.12257773771969356
231215,5xdC+,0.02909647779479326
231215,a4+10x,0.07779947916666667
231215,a4+12x,0.05155482815057283
231215,a4+5x,0.02297821545807222
231215,a4+gA11dC-,0.18482490272373542
231215,a4dCmCh+,0.027138914443422264
231215,gA11dC+,0.5489130434782609
231215,gA11dC-,0.003813674748025061
231215,gC3FL+,0.6438672438672439
231215,gC3FL+unstained,0.001105583195135434
231220,10x+gA11dC-,0.17271407837445574
231220,10xdC+,0.03312051077414206
231220,12x+gA11dC-,0.14185264445123816
231220,12xdC+,0.01588170865279299
231220,5x+gA11dC-,0.08847058823529412
231220,5xdC+,0.020053475935828877
231220,a4+10x,0.0916063059224542
231220,a4+12x,0.04040404040404041
231220,a4+5x,0.024602026049204053
231220,a4+gA11dC-,0.24612920448478376
231220,a4dCmCh+,0.02478952291861553
231220,gA11dC+,0.544153577661431
231220,gA11dC-,0.002685078634445723
231220,gC3FL+,0.672509225092251
231220,gC3FL-unstained,0.0011750881316098707
240111,14xdC+,0.009137055837563452
240111,a4dCmCh+,0.011648745519713262
240111,b17FL+,0.6052141527001862
240111,b17ec56,0.06137517305029996
240111,gA11dC+,0.42055055873535024
240111,gA11ec56,0.11410400299289188
240111,gB6dC+,0.28335832083958024
240111,gB6dsdC,0.21500295333727112
240111,gB6ec56,0.2909371781668383
240111,gC3FL+,0.50709067468844
240111,gC3FL-,0.0049460431654676255
240111,gC3FL-unstained,0.0
240111,gC3ec56*,0.09596344249809596
240112,14xdC+,0.011175898931000973
240112,a4dCmCh+,0.006907137375287797
240112,b17FL+,0.7006737247353224
240112,b17dsdC,0.3424291064740503
240112,b17ec56,0.10666666666666667
240112,gA11dC+,0.47870311506675145
240112,gA11dsdC,0.3449447748513169
240112,gA11ec56,0.15310544053923927
240112,gB6dC+,0.3556581986143187
240112,gB6dsdC,0.3436234817813765
240112,gB6ec56,0.30077519379844964
240112,gC3FL+,0.6046511627906976
240112,gC3FL-,0.0014334862385321102
240112,gC3dsdC,0.4388332607749238
240112,gC3ec56*,0.17417721518987342
240113,14xdC+,0.005031446540880503
240113,22xdC+,0.006178707224334601
240113,a4dCmCh+,0.01239829523440527
240113,b17FL+,0.6639132679401136
240113,b17dsdC,0.3119315141787052
240113,b17ec56,0.022153846153846152
240113,gA11dsdC,0.2314647377938517
240113,gA11ec56,0.09367194004995837
240113,gB6dC+,0.22761970853573907
240113,gB6dsdC,0.21170212765957447
240113,gB6ec56,0.27847049044056527
240113,gC3FL+,0.5569159497021839
240113,gC3FL-,0.0011627906976744186
240113,gC3dsdC,0.36009174311926606
240113,gC3ec56,0.14856646394439618
240131,14x+gA11dC-,0.018504240555127217
240131,14xdC+,0.008364700961940611
240131,22x+gA11dC-,0.0058016877637130804
240131,22xdC+,0.004803843074459567
240131,a4+14x,0.01990049751243781
240131,a4+22x,0.022277227722772276
240131,a4+gA11dC-,0.10704960835509138
240131,a4dCmCh+,0.009933774834437087
240131,gA11dC+,0.3780323450134771
240131,gA11dC-,0.005702066999287242
240131,gC3FL+,0.5493030459473413
240131,gC3FL-,0.0011013215859030838
240131,gC3FL-unstained,0.0019828155981493722
240131,gC3dsdC,0.2927484333034915
240131,gC3ec56,0.14209472981987992
240201,14x+gA11dC-,0.012239347234814143
240201,14xdC+,0.012048192771084338
240201,22x+gA11dC-,0.007711038961038961
240201,22xdC+,0.011627906976744186
240201,a4+14x,0.01707865168539326
240201,a4+22x,0.025182778229082048
240201,a4+gA11dC-,0.16902145473574046
240201,a4dCmCh+,0.01296111665004985
240201,gA11dC+,0.4258195336262251
240201,gA11dC-,0.005492349941153394
240201,gC3FL+,0.5472355245973008
240201,gC3FL-,0.005130228887134964
240201,gC3FL-unstained,0.0
240201,gC3dsdC,0.3344733242134063
240201,gC3ec56,0.1479680444598819
