S,FITC
10x+gA11dC-,0.17390597039206115
10xdC+,0.024144144144144144
12x+gA11dC-,0.15295095594347466
12xdC+,0.029014782848223303
14x+gA11dC-,0.014558949471881244
14xdC+,0.008640451419502733
22x+gA11dC-,0.006880733944954129
22xdC+,0.008486562942008486
5x+gA11dC-,0.09650180940892641
5xdC+,0.01357556398482731
a4+10x,0.08493589743589744
a4+12x,0.04596273291925466
a4+14x,0.018262457605009132
a4+22x,0.023533544081489288
a4+5x,0.02232339550594801
a4+gA11dC-,0.18151458599351733
a4+gC3FL-,0.16206833546501004
a4-gC3rdsFL,0.5568734793187348
a4-gC3rdsdC,0.09117094552285536
a4dCdEC6,0.3393617021276596
a4dCmCh+,0.017439865223224035
aC2FL+,0.03053352167771379
aC2dC+,0.05271170313986679
aC2dsdC,0.27209175314036044
b17FL+,0.7513984410820724
b17dsdC,0.24567811054297542
b17ec56,0.056570814297231924
gA11dC+,0.49027573688304954
gA11dC-,0.004745218280040882
gA11dsdC,0.25030028026157747
gA11ec56,0.11230898053171447
gA1dsdC,0.2812613705275925
gA3dC+,0.5003236245954693
gA3dsdC,0.31371561019852867
gB2dC+,0.4919449326303456
gB2dsdC,0.3231924643584521
gB6FL+,0.41478599221789886
gB6dC+,0.37144148215092637
gB6dsdC,0.20708205652025877
gB6ec56,0.2874699438952712
gC3FL+,0.6293170003602861
gC3FL+unstained,0.001105583195135434
gC3FL-,0.007196077182703942
gC3FL-unstained,0.0006769716800180526
gC3dC+,0.5927818588310444
gC3dsFL,0.2500739863865049
gC3dsdC,0.3771079381867325
gC3ec56,0.14710764908696208
gC3ec56*,0.14294403892944038
